month,store,expense-category,val-in-rep-cur-,store_id
2025-04,3001.0,Central,2926.87,
2025-04,3001.0,Finance,649,
2025-04,3001.0,Home Delivery Charges,-8786,
2025-04,3001.0,Housekeeping,0,
2025-04,3001.0,Internet,0,
2025-04,3001.0,Logistic Costs,114.34,
2025-04,3001.0,Maintenance & Consummables,301314,
2025-04,3001.0,Marketing Expenses,-10.42,
2025-04,3001.0,Packaging,1195.41,
2025-04,3001.0,Power & Fuel,7144,
2025-04,3001.0,Printing & Stationery,0,
2025-04,3001.0,Rent + CAM,266252.7,
2025-04,3002.0,Central,5882.87,
2025-04,3002.0,Finance,8148,
2025-04,3002.0,Home Delivery Charges,-1905,
2025-04,3002.0,Housekeeping,1600,
2025-04,3002.0,Internet,3978,
2025-04,3002.0,Logistic Costs,10221.34,
2025-04,3002.0,Maintenance & Consummables,10368.5,
2025-04,3002.0,Marketing Expenses,4019.58,
2025-04,3002.0,Office expense incl brokerage exp,770,
2025-04,3002.0,Packaging,3154.41,
2025-04,3002.0,Power & Fuel,18022,
2025-04,3002.0,Printing & Stationery,7895.5,
2025-04,3002.0,Rent + CAM,327055,
2025-04,3003.0,Central,13759.87,
2025-04,3003.0,Finance,6594,
2025-04,3003.0,Home Delivery Charges,344,
2025-04,3003.0,Housekeeping,3400,
2025-04,3003.0,Internet,1098,
2025-04,3003.0,Logistic Costs,10221.34,
2025-04,3003.0,Maintenance & Consummables,4046.5,
2025-04,3003.0,Marketing Expenses,4019.58,
2025-04,3003.0,Office expense incl brokerage exp,1000,
2025-04,3003.0,Packaging,3154.41,
2025-04,3003.0,Power & Fuel,6280.15,
2025-04,3003.0,Printing & Stationery,5781.75,
2025-04,3003.0,Rent + CAM,116216.08,
2025-04,3003.0,Staff Welfare,1520,
2025-04,3004.0,Central,7395.87,
2025-04,3004.0,Finance,6272,
2025-04,3004.0,Home Delivery Charges,-2262,
2025-04,3004.0,Housekeeping,7100,
2025-04,3004.0,Internet,2498,
2025-04,3004.0,Logistic Costs,10221.34,
2025-04,3004.0,Maintenance & Consummables,9070.5,
2025-04,3004.0,Marketing Expenses,4019.58,
2025-04,3004.0,Office expense incl brokerage exp,2226,
2025-04,3004.0,Packaging,3154.41,
2025-04,3004.0,Power & Fuel,14852,
2025-04,3004.0,Printing & Stationery,2000,
2025-04,3004.0,Rent + CAM,158122.5,
2025-04,3004.0,Staff Welfare,2460,
2025-04,3005.0,Central,13408.87,
2025-04,3005.0,Finance,5925,
2025-04,3005.0,Home Delivery Charges,10514,
2025-04,3005.0,Housekeeping,3100,
2025-04,3005.0,Internet,898,
2025-04,3005.0,Logistic Costs,10221.34,
2025-04,3005.0,Maintenance & Consummables,10000.5,
2025-04,3005.0,Marketing Expenses,4019.58,
2025-04,3005.0,Packaging,3154.41,
2025-04,3005.0,Power & Fuel,8507.42,
2025-04,3005.0,Printing & Stationery,5294,
2025-04,3005.0,Rent + CAM,93135.5,
2025-04,3005.0,Staff Welfare,1560,
2025-04,3006.0,Central,7610,
2025-04,3006.0,Finance,5175,
2025-04,3006.0,Housekeeping,6008,
2025-04,3006.0,Internet,3360,
2025-04,3006.0,Logistic Costs,13313.9,
2025-04,3006.0,Maintenance & Consummables,0,
2025-04,3006.0,Marketing Expenses,3976,
2025-04,3006.0,Office expense incl brokerage exp,100,
2025-04,3006.0,Packaging,3050.41,
2025-04,3006.0,Power & Fuel,8095,
2025-04,3006.0,Printing & Stationery,2308,
2025-04,3006.0,Rent + CAM,40792,
2025-04,3006.0,Staff Welfare,5300,
2025-04,3007.0,Central,9642.4,
2025-04,3007.0,Finance,779,
2025-04,3007.0,Housekeeping,2800,
2025-04,3007.0,Internet,3876,
2025-04,3007.0,Logistic Costs,11558,
2025-04,3007.0,Maintenance & Consummables,0,
2025-04,3007.0,Marketing Expenses,16882,
2025-04,3007.0,Office expense incl brokerage exp,7615,
2025-04,3007.0,Packaging,2865.41,
2025-04,3007.0,Power & Fuel,13022,
2025-04,3007.0,Printing & Stationery,2216,
2025-04,3007.0,Rent + CAM,40909,
2025-04,3007.0,Staff Welfare,4500,
2025-04,3007.0,Water,700,
2025-04,3008.0,Central,5909,
2025-04,3008.0,Finance,4997,
2025-04,3008.0,Housekeeping,600,
2025-04,3008.0,Internet,3876,
2025-04,3008.0,Inventory Shrinkage,2169.61,
2025-04,3008.0,Logistic Costs,12175.72,
2025-04,3008.0,Maintenance & Consummables,0,
2025-04,3008.0,Marketing Expenses,3976,
2025-04,3008.0,Packaging,3375.41,
2025-04,3008.0,Power & Fuel,3815,
2025-04,3008.0,Printing & Stationery,2272,
2025-04,3008.0,Rent + CAM,48000,
2025-04,3009.0,Central,14176,
2025-04,3009.0,Finance,6457,
2025-04,3009.0,Housekeeping,600,
2025-04,3009.0,Internet,3876,
2025-04,3009.0,Logistic Costs,12433,
2025-04,3009.0,Maintenance & Consummables,0,
2025-04,3009.0,Marketing Expenses,3976,
2025-04,3009.0,Packaging,3745.41,
2025-04,3009.0,Power & Fuel,15730,
2025-04,3009.0,Printing & Stationery,2803,
2025-04,3009.0,Rent + CAM,55000,
2025-04,3010.0,Central,30912.94,
2025-04,3010.0,Finance,3596,
2025-04,3010.0,Housekeeping,600,
2025-04,3010.0,Internet,1424.21,
2025-04,3010.0,Logistic Costs,8220,
2025-04,3010.0,Maintenance & Consummables,28067.5,
2025-04,3010.0,Marketing Expenses,3554.97,
2025-04,3010.0,Office expense incl brokerage exp,770,
2025-04,3010.0,Packaging,3250,
2025-04,3010.0,Power & Fuel,13323,
2025-04,3010.0,Printing & Stationery,1350,
2025-04,3010.0,Rent + CAM,75250,
2025-04,3010.0,Water,400,
2025-04,3012.0,Finance,234,
2025-04,3012.0,Housekeeping,3400,
2025-04,3012.0,Logistic Costs,1308,
2025-04,3012.0,Maintenance & Consummables,88100,
2025-04,3012.0,Marketing Expenses,62.33,
2025-04,3012.0,Office expense incl brokerage exp,1800,
2025-04,3012.0,Packaging,1027.24,
2025-04,3012.0,Power & Fuel,0,
2025-04,3012.0,Printing & Stationery,0,
2025-04,3012.0,Rent + CAM,124000,
2025-04,3012.0,Staff Welfare,1470,
2025-04,3013.0,Central,1051,
2025-04,3013.0,Finance,0,
2025-04,3013.0,Maintenance & Consummables,44800,
2025-04,3013.0,Packaging,0,
2025-04,3014.0,Central,13376.35,
2025-04,3014.0,Finance,7164,
2025-04,3014.0,Home Delivery Charges,186,
2025-04,3014.0,Housekeeping,2400,
2025-04,3014.0,Inventory Shrinkage,4923.42,
2025-04,3014.0,Logistic Costs,8650,
2025-04,3014.0,Maintenance & Consummables,32533.5,
2025-04,3014.0,Marketing Expenses,3987.11,
2025-04,3014.0,Office expense incl brokerage exp,770,
2025-04,3014.0,Packaging,1195.41,
2025-04,3014.0,Power & Fuel,7346.41,
2025-04,3014.0,Printing & Stationery,11981,
2025-04,3014.0,Rent + CAM,65000,
2025-04,3014.0,Water,32.65,
2025-04,3015.0,Central,21007.4,
2025-04,3015.0,Finance,8475,
2025-04,3015.0,Housekeeping,600,
2025-04,3015.0,Internet,3876,
2025-04,3015.0,Logistic Costs,11558,
2025-04,3015.0,Maintenance & Consummables,0,
2025-04,3015.0,Marketing Expenses,3976,
2025-04,3015.0,Packaging,3540.41,
2025-04,3015.0,Power & Fuel,1000,
2025-04,3015.0,Printing & Stationery,2821,
2025-04,3015.0,Rent + CAM,31972,
2025-04,3015.0,Water,500,
2025-04,3016.0,Central,5743.35,
2025-04,3016.0,Finance,6659,
2025-04,3016.0,Housekeeping,2400,
2025-04,3016.0,Inventory Shrinkage,1915.91,
2025-04,3016.0,Logistic Costs,8650,
2025-04,3016.0,Maintenance & Consummables,11544.5,
2025-04,3016.0,Marketing Expenses,3986.43,
2025-04,3016.0,Packaging,1224.82,
2025-04,3016.0,Power & Fuel,21416.25,
