month,store_id,total_expenses
2025-04,1MG_107_01,62938.79
2025-04,1MG_109_01,183680.05
2025-04,1MG_120_01,109779.39
2025-04,1MG_128_01,79897.68
2025-04,1MG_137_01,108130.1
2025-04,1MG_AMN_01,71502.03
2025-04,1MG_ANS_01,42408.759999999995
2025-04,1MG_BCE_01,179864.25
2025-04,1MG_BDS_01,19456.5
2025-04,1MG_BPN_01,29421
2025-04,1MG_BPU_01,2000
2025-04,1MG_CKS_01,132775.41999999998
2025-04,1MG_CPH_01,101655
2025-04,1MG_CRD_01,149912.62
2025-04,1MG_CRP_01,10923
2025-04,1MG_DDM_01,139867.96
2025-04,1MG_DKH_01,3500
2025-04,1MG_DSN_01,51010.82
2025-04,1MG_DTR_01,155752.01
2025-04,1MG_FRB_01,45988.55
2025-04,1MG_FTC_01,2300
2025-04,1MG_GHC_01,70813.59
2025-04,1MG_GLB_01,-14408.029999999999
2025-04,1MG_GPP_01,109116.67
2025-04,1MG_GRN_01,-7017.5999999999985
2025-04,1MG_HKR_01,102108.49
2025-04,1MG_IDN_01,105175.94
2025-04,1MG_ILC_01,126182.42
2025-04,1MG_JGT_01,41583.45
2025-04,1MG_JHR_01,125466.55
2025-04,1MG_JKP_01,80857.3
2025-04,1MG_JPM_01,88110.89
2025-04,1MG_JPT_01,-35673.51000000001
2025-04,1MG_KSR_01,2000
2025-04,1MG_LAL_01,-3858.519999999997
2025-04,1MG_LTN_01,15517
2025-04,1MG_M3M_01,220841.43
2025-04,1MG_MCI_01,79596.24
2025-04,1MG_MVI_01,1742.1100000000006
2025-04,1MG_MVN_01,38191.94
2025-04,1MG_NHG_01,118644.74
2025-04,1MG_NK1_01,70872.45
2025-04,1MG_NRN_01,160258.82
2025-04,1MG_PII_01,61605.58
2025-04,1MG_PMV_01,79602.69
2025-04,1MG_PTN_01,138347.69
2025-04,1MG_RKK_01,99901
2025-04,1MG_RPM_01,80442.12
2025-04,1MG_S04_01,170771.99
2025-04,1MG_S07_01,120047.86
2025-04,1MG_S08_01,175451
2025-04,1MG_S12_01,177559.28
2025-04,1MG_S16_01,85671.33
2025-04,1MG_S20_01,71935.45
2025-04,1MG_S22_01,157312.56
2025-04,1MG_S37_01,71954.89
2025-04,1MG_S47_01,97222.89
2025-04,1MG_S49_01,79692.86
2025-04,1MG_S72_01,59910.54
2025-04,1MG_S74_01,131648.5
2025-04,1MG_S81_01,99035.95999999999
2025-04,1MG_S95_01,65172.11
2025-04,1MG_SD1_01,56974.39
2025-04,1MG_SDM_01,124668.37
2025-04,1MG_SEB_01,111855.6
2025-04,1MG_SNY_01,82556.34
2025-04,1MG_SRB_01,2000
2025-04,1MG_STR_01,300
2025-04,1MG_SVN_01,98117.73
2025-04,1MG_SWP_01,29315.14
2025-04,1MG_TOT_01,105123.23
2025-04,1MG_VHN_01,50581.29
2025-04,1MG_VIN_01,106554.03
2025-04,1MG_VK2_01,159439.88
2025-04,1MG_VKG_01,0
2025-04,1MG_VKN_01,71923.17
2025-04,1MG_VPM_01,-222394.86
2025-04,1MG_VSN_01,69381.26999999999
2025-04,1MG_WP2_01,82155.25
2025-04,1MG_WRP_01,9490
2025-04,NP_CCU_BBR_001,221401.57
2025-04,NP_CCU_BNG_2,138771.19
2025-04,NP_CCU_CEN_003,92704.07
2025-04,NP_CCU_CPK_004,92459.43
